build_up_id,match_id,match_name,match_date,team,opponent,scorer,minute,second,period,possession,passes_before_goal,attack_duration_seconds,build_up_type,shot_xg,tournament_stage,tournament_progress_score,finishing_efficiency,goal_event_id,match_stage,play_pattern,start_x,start_y,goal_x,goal_y,shot_x,shot_y
3869253_1,3869253,Brazil vs South Korea,2022-12-05,Brazil,South Korea,Vinícius José Paixão de Oliveira Júnior,6,41,1,13,13,49,Long build-up,0.13057186,Quarter Final,3,0.101010101010101,3869253_1,Round of 16,From Free Kick,40.5,54.3,110.0,29.9,110.0,29.9
3869253_2,3869253,Brazil vs South Korea,2022-12-05,Brazil,South Korea,Neymar da Silva Santos Junior,12,18,1,17,0,0,Quick attack,0.7835,Quarter Final,3,0.101010101010101,3869253_2,Round of 16,Other,108.0,40.0,108.0,40.0,108.0,40.0
3869253_3,3869253,Brazil vs South Korea,2022-12-05,Brazil,South Korea,Richarlison de Andrade,28,13,1,46,6,30,Medium build-up,0.5379008,Quarter Final,3,0.101010101010101,3869253_3,Round of 16,From Corner,93.4,32.1,110.7,43.3,110.7,43.3
3869253_4,3869253,Brazil vs South Korea,2022-12-05,Brazil,South Korea,Lucas Tolentino Coelho de Lima,35,45,1,55,6,20,Medium build-up,0.08633457,Quarter Final,3,0.101010101010101,3869253_4,Round of 16,From Throw In,10.9,0.1,110.0,44.8,110.0,44.8
3869253_5,3869253,Brazil vs South Korea,2022-12-05,South Korea,Brazil,Seung-Ho Paik,75,47,2,136,0,3,Quick attack,0.023081098,Round of 16,2,0.1041666666666666,3869253_5,Round of 16,From Free Kick,89.5,66.9,93.7,39.8,93.7,39.8
3869152_1,3869152,France vs Poland,2022-12-04,France,Poland,Olivier Giroud,43,28,1,73,11,26,Long build-up,0.28635955,Final,6,0.1698113207547169,3869152_1,Round of 16,From Throw In,94.8,80.0,105.6,32.3,105.6,32.3
3869152_2,3869152,France vs Poland,2022-12-04,France,Poland,Kylian Mbappé Lottin,73,56,2,121,4,16,Medium build-up,0.08738103,Final,6,0.1698113207547169,3869152_2,Round of 16,Regular Play,8.8,39.3,104.8,28.6,104.8,28.6
3869152_3,3869152,France vs Poland,2022-12-04,France,Poland,Kylian Mbappé Lottin,90,5,2,143,8,23,Long build-up,0.042708755,Final,6,0.1698113207547169,3869152_3,Round of 16,Regular Play,51.8,22.2,106.2,25.2,106.2,25.2
3869152_4,3869152,France vs Poland,2022-12-04,Poland,France,Robert Lewandowski,98,36,2,152,0,0,Quick attack,0.7835,Round of 16,2,0.0967741935483871,3869152_4,Round of 16,Other,108.0,40.0,108.0,40.0,108.0,40.0
3869117_1,3869117,Netherlands vs United States,2022-12-03,Netherlands,United States,Memphis Depay,9,31,1,20,21,63,Long build-up,0.16183718,Quarter Final,3,0.2708333333333333,3869117_1,Round of 16,Regular Play,80.5,25.7,104.9,43.7,104.9,43.7
3869117_2,3869117,Netherlands vs United States,2022-12-03,Netherlands,United States,Daley Blind,45,36,1,72,4,9,Medium build-up,0.2502288,Quarter Final,3,0.2708333333333333,3869117_2,Round of 16,From Throw In,106.1,80.0,107.6,38.5,107.6,38.5
3869117_3,3869117,Netherlands vs United States,2022-12-03,United States,Netherlands,Haji Wright,75,20,2,125,4,6,Medium build-up,0.3636808,Round of 16,2,0.0652173913043478,3869117_3,Round of 16,From Corner,82.4,48.5,115.1,45.2,115.1,45.2
3869117_4,3869117,Netherlands vs United States,2022-12-03,Netherlands,United States,Denzel Dumfries,80,28,2,137,8,27,Long build-up,0.23592436,Quarter Final,3,0.2708333333333333,3869117_4,Round of 16,From Keeper,15.0,34.8,113.5,44.3,113.5,44.3
3857270_1,3857270,Portugal vs Uruguay,2022-11-28,Portugal,Uruguay,Bruno Miguel Borges Fernandes,53,40,2,94,14,42,Long build-up,0.0077694156,Quarter Final,3,0.1818181818181818,3857270_1,Group Stage,Regular Play,7.3,40.0,99.4,14.6,99.4,14.6
3857270_2,3857270,Portugal vs Uruguay,2022-11-28,Portugal,Uruguay,Bruno Miguel Borges Fernandes,92,19,2,161,0,0,Quick attack,0.7835,Quarter Final,3,0.1818181818181818,3857270_2,Group Stage,Other,108.0,40.0,108.0,40.0,108.0,40.0
3857263_1,3857263,Spain vs Germany,2022-11-27,Spain,Germany,Álvaro Borja Morata Martín,61,33,2,131,16,44,Long build-up,0.31874228,Round of 16,2,0.1764705882352941,3857263_1,Group Stage,From Goal Kick,7.0,36.1,113.2,34.3,113.2,34.3
3857263_2,3857263,Spain vs Germany,2022-11-27,Germany,Spain,Niclas Füllkrug,82,25,2,169,2,5,Quick attack,0.16441207,Group Stage,1,0.088235294117647,3857263_2,Group Stage,From Counter,79.5,75.6,110.8,51.9,110.8,51.9
