build_up_id,match_id,match_date,match_label,team,goal_player,goal_minute,goal_second,period,possession,play_pattern,passes_before_goal,duration_seconds,start_x,start_y,goal_x,goal_y
3857284_3,3857284,2022-11-23,Germany vs Japan,Japan,Takuma Asano,82,42,2,151,From Free Kick,1,6,39.2,71.1,117.7,50.2
3857282_1,3857282,2022-11-21,United States vs Wales,United States,Timothy Weah,35,12,1,60,From Counter,6,12,26.2,21.8,107.7,37.8
3857282_2,3857282,2022-11-21,United States vs Wales,Wales,Gareth Frank Bale,81,33,2,144,Other,0,0,108.0,40.0,108.0,40.0
3857286_1,3857286,2022-11-20,Qatar vs Ecuador,Ecuador,Enner Remberto Valencia Lastra,15,49,1,25,Other,0,0,108.1,40.1,108.1,40.1
3857286_2,3857286,2022-11-20,Qatar vs Ecuador,Ecuador,Enner Remberto Valencia Lastra,30,44,1,49,Regular Play,2,3,112.6,71.8,109.6,38.0
3857301_1,3857301,2022-11-25,Qatar vs Senegal,Senegal,Boulaye Dia,40,20,1,70,Regular Play,10,39,58.2,43.4,107.2,33.3
3857301_2,3857301,2022-11-25,Qatar vs Senegal,Senegal,Famara Diedhiou,47,51,2,96,From Corner,1,1,120.0,80.0,112.5,48.1
3857301_3,3857301,2022-11-25,Qatar vs Senegal,Qatar,Mohammed Muntari,77,39,2,147,From Free Kick,6,30,64.0,39.1,110.1,38.7
3857301_4,3857301,2022-11-25,Qatar vs Senegal,Senegal,Cheikh Ahmadou Bamba Mbacke Dieng,83,6,2,155,From Throw In,4,12,55.7,73.3,107.8,45.3
3857300_1,3857300,2022-11-22,Argentina vs Saudi Arabia,Argentina,Lionel Andrés Messi Cuccittini,9,15,1,10,Other,0,0,108.0,40.0,108.0,40.0
3857300_2,3857300,2022-11-22,Argentina vs Saudi Arabia,Saudi Arabia,Saleh Khalid Al Shehri,47,40,2,78,From Free Kick,5,18,49.9,24.7,108.0,29.6
3857300_3,3857300,2022-11-22,Argentina vs Saudi Arabia,Saudi Arabia,Salem Mohammed Al Dawsari,52,44,2,88,Regular Play,4,31,66.4,2.7,102.4,25.3
3857299_1,3857299,2022-11-28,South Korea vs Ghana,Ghana,Mohamed Salisu,23,43,1,38,From Free Kick,0,2,92.9,2.9,115.5,37.9
