build_up_id,match_id,match_date,match_label,team,goal_player,goal_minute,goal_second,period,possession,play_pattern,passes_before_goal,duration_seconds,start_x,start_y,goal_x,goal_y
3857292_2,3857292,2022-12-01,Costa Rica vs Germany,Costa Rica,Yeltsin Ignacio Tejeda Valverde,57,39,2,122,Regular Play,3,9,70.8,76.4,114.3,38.1
3857292_3,3857292,2022-12-01,Costa Rica vs Germany,Germany,Kai Havertz,72,4,2,143,From Kick Off,18,65,60.0,40.0,109.3,42.6
3857292_4,3857292,2022-12-01,Costa Rica vs Germany,Germany,Kai Havertz,84,2,2,165,Regular Play,8,23,34.7,51.4,113.1,37.6
3857292_5,3857292,2022-12-01,Costa Rica vs Germany,Germany,Niclas Füllkrug,88,13,2,178,From Throw In,17,81,49.4,0.1,114.8,42.5
3857291_1,3857291,2022-11-23,Spain vs Costa Rica,Spain,Daniel Olmo Carvajal,10,52,1,19,From Throw In,26,75,110.5,80.0,112.3,39.3
3857291_2,3857291,2022-11-23,Spain vs Costa Rica,Spain,Marco Asensio Willemsen,20,32,1,35,Regular Play,26,79,36.1,54.2,105.8,33.4
3857291_3,3857291,2022-11-23,Spain vs Costa Rica,Spain,Ferrán Torres García,30,9,1,42,Other,0,0,108.1,40.1,108.1,40.1
3857291_4,3857291,2022-11-23,Spain vs Costa Rica,Spain,Ferrán Torres García,53,41,2,80,From Corner,33,98,120.0,80.0,114.7,49.4
3857291_5,3857291,2022-11-23,Spain vs Costa Rica,Spain,Pablo Martín Páez Gavira,73,59,2,112,From Free Kick,4,28,32.1,48.1,103.0,45.8
3857291_6,3857291,2022-11-23,Spain vs Costa Rica,Spain,Carlos Soler Barragán,89,11,2,132,Regular Play,6,24,40.8,8.1,109.7,40.1
3857291_7,3857291,2022-11-23,Spain vs Costa Rica,Spain,Álvaro Borja Morata Martín,91,57,2,135,From Keeper,23,65,15.8,30.0,104.0,36.4
3857290_1,3857290,2022-11-24,Switzerland vs Cameroon,Switzerland,Breel-Donald Embolo,47,33,2,83,From Throw In,13,30,98.9,0.1,111.9,39.5
3857285_1,3857285,2022-11-21,Senegal vs Netherlands,Netherlands,Cody Mathès Gakpo,83,50,2,149,Regular Play,6,16,108.1,70.9,112.3,39.0
3857285_2,3857285,2022-11-21,Senegal vs Netherlands,Netherlands,Davy Klaassen,98,18,2,176,Regular Play,8,24,35.7,30.4,109.5,34.8
3857281_1,3857281,2022-11-27,Croatia vs Canada,Canada,Alphonso Davies,1,8,1,3,Regular Play,11,40,15.4,39.2,109.6,36.4
3857281_2,3857281,2022-11-27,Croatia vs Canada,Croatia,Andrej Kramarić,35,53,1,64,From Corner,6,13,100.2,11.2,114.1,29.4
3857281_3,3857281,2022-11-27,Croatia vs Canada,Croatia,Marko Livaja,43,32,1,74,From Free Kick,12,31,33.3,56.0,101.0,39.1
3857281_4,3857281,2022-11-27,Croatia vs Canada,Croatia,Andrej Kramarić,69,36,2,142,Regular Play,6,21,43.7,53.8,106.8,47.1
3857281_5,3857281,2022-11-27,Croatia vs Canada,Croatia,Lovro Majer,93,26,2,198,Regular Play,1,1,105.0,34.2,109.2,45.4
3857280_1,3857280,2022-12-02,Cameroon vs Brazil,Cameroon,Vincent Paté Aboubakar,91,48,2,157,Regular Play,4,11,43.7,3.1,106.7,40.7
3857279_1,3857279,2022-11-22,France vs Australia,Australia,Craig Goodwin,8,24,1,15,From Throw In,6,17,97.5,0.1,114.2,31.3
3857279_2,3857279,2022-11-22,France vs Australia,France,Adrien Rabiot,26,2,1,40,From Corner,2,4,80.8,31.8,111.6,42.0
3857279_3,3857279,2022-11-22,France vs Australia,France,Olivier Giroud,31,18,1,48,Regular Play,2,3,104.7,9.2,110.5,39.2
3857279_4,3857279,2022-11-22,France vs Australia,France,Kylian Mbappé Lottin,67,3,2,101,Regular Play,29,87,33.6,13.2,113.5,42.2
3857279_5,3857279,2022-11-22,France vs Australia,France,Olivier Giroud,70,50,2,106,From Free Kick,7,24,45.1,3.9,113.5,42.6
3857278_1,3857278,2022-11-29,Iran vs United States,United States,Christian Pulisic,37,49,1,73,Regular Play,11,30,42.8,62.6,115.1,38.7
3857276_1,3857276,2022-12-01,Canada vs Morocco,Morocco,Hakim Ziyech,3,29,1,8,From Throw In,1,11,47.0,3.7,83.9,45.0
3857276_2,3857276,2022-12-01,Canada vs Morocco,Morocco,Youssef En-Nesyri,22,36,1,40,From Throw In,6,24,63.3,80.0,107.6,53.2
3857275_1,3857275,2022-11-30,Tunisia vs France,Tunisia,Wahbi Khazri,57,20,2,120,Regular Play,2,7,65.4,48.6,103.3,37.8
