match_id,match_label,team,opponent,possession,formation,player,period,minute,second,shot_type,shot_context,is_penalty_shootout,is_standard_shot,shot_outcome,is_goal,shot_xg,play_pattern,passes_before_shot,pass_category,duration_seconds,players_involved,start_x,start_y,start_zone,shot_x,shot_y,entry_method,passes_to_entry,time_to_entry,fast_entry_before_shot
3857274,Netherlands vs Ecuador,Ecuador,Netherlands,41,3421,Michael Steveen Estrada Martínez,1,26,56,Open Play,Open play / other,False,False,Wayward,0,0.069653474,Regular Play,5,4-6,17.0,5,72.3,57.2,Mittelfeld,112.1,34.6,Kurzer Pass,2.0,2.0,True
3857274,Netherlands vs Ecuador,Ecuador,Netherlands,52,3421,Enner Remberto Valencia Lastra,1,31,53,Open Play,Open play / other,False,False,Saved,0,0.029882463,Regular Play,3,0-3,12.0,4,48.0,60.5,Mittelfeld,100.6,23.5,Langer Pass,3.0,5.0,True
3857274,Netherlands vs Ecuador,Ecuador,Netherlands,81,3421,Enner Remberto Valencia Lastra,1,46,49,Open Play,Free kick,False,True,Blocked,0,0.024015462,From Free Kick,1,0-3,2.0,2,86.0,12.4,Offensives Drittel,110.2,47.9,Bereits im offensiven Drittel,0.0,0.0,True
3857274,Netherlands vs Ecuador,Ecuador,Netherlands,82,3421,Angelo Smit Preciado Quiñónez,1,47,48,Open Play,Corner,False,True,Blocked,0,0.022953799,From Corner,0,0-3,2.0,3,120.0,80.0,Offensives Drittel,100.6,54.0,Bereits im offensiven Drittel,0.0,0.0,True
3857274,Netherlands vs Ecuador,Ecuador,Netherlands,82,3421,Pervis Josué Estupiñán Tenorio,1,47,49,Open Play,Corner,False,True,Wayward,0,0.18923391,From Corner,0,0-3,3.0,4,120.0,80.0,Offensives Drittel,112.0,44.1,Bereits im offensiven Drittel,0.0,0.0,True
3857274,Netherlands vs Ecuador,Ecuador,Netherlands,95,3421,Pervis Josué Estupiñán Tenorio,2,48,43,Open Play,Open play / other,False,False,Saved,0,0.08083876,Regular Play,2,0-3,5.0,4,76.0,38.9,Mittelfeld,105.8,28.7,Kurzer Pass,1.0,0.0,True
3857274,Netherlands vs Ecuador,Ecuador,Netherlands,95,3421,Enner Remberto Valencia Lastra,2,48,44,Open Play,Open play / other,False,False,Goal,1,0.790909,From Counter,2,0-3,6.0,5,76.0,38.9,Mittelfeld,116.0,38.1,Kurzer Pass,1.0,0.0,True
3857274,Netherlands vs Ecuador,Ecuador,Netherlands,110,3421,Enner Remberto Valencia Lastra,2,58,46,Open Play,Throw-in,False,True,Blocked,0,0.09564507,From Throw In,3,0-3,16.0,3,88.7,80.0,Offensives Drittel,102.0,37.5,Bereits im offensiven Drittel,0.0,0.0,True
3857274,Netherlands vs Ecuador,Ecuador,Netherlands,110,3421,Gonzalo Jordy Plata Jiménez,2,58,48,Open Play,Throw-in,False,True,Post,0,0.046335444,From Throw In,3,0-3,18.0,4,88.7,80.0,Offensives Drittel,104.2,52.6,Bereits im offensiven Drittel,0.0,0.0,True
3857274,Netherlands vs Ecuador,Ecuador,Netherlands,118,3421,Michael Steveen Estrada Martínez,2,63,19,Open Play,Open play / other,False,False,Wayward,0,0.13418972,Regular Play,3,0-3,34.0,8,15.4,42.5,Defensives Drittel,105.1,38.0,No entry found,,,False
3857274,Netherlands vs Ecuador,Netherlands,Ecuador,121,3412,Teun Koopmeiners,2,65,12,Open Play,Open play / other,False,False,Off T,0,0.04520454,Regular Play,21,10+,75.0,11,64.0,43.9,Mittelfeld,96.5,40.9,Carry,3.0,16.0,False
3857274,Netherlands vs Ecuador,Ecuador,Netherlands,135,3421,Moisés Isaac Caicedo Corozo,2,72,33,Open Play,Open play / other,False,False,Blocked,0,0.03323832,Regular Play,1,0-3,7.0,3,83.0,14.2,Offensives Drittel,103.2,29.4,Bereits im offensiven Drittel,0.0,0.0,True
3857274,Netherlands vs Ecuador,Ecuador,Netherlands,146,3421,Angelo Smit Preciado Quiñónez,2,80,21,Open Play,Corner,False,True,Off T,0,0.007451811,From Corner,0,0-3,4.0,2,120.0,0.1,Offensives Drittel,95.3,57.9,Bereits im offensiven Drittel,0.0,0.0,True
3857274,Netherlands vs Ecuador,Ecuador,Netherlands,163,3421,Angelo Smit Preciado Quiñónez,2,91,54,Open Play,Throw-in,False,True,Saved,0,0.033830326,From Throw In,2,0-3,3.0,3,102.8,0.1,Offensives Drittel,98.9,38.2,Bereits im offensiven Drittel,0.0,0.0,True
3857255,Japan vs Spain,Spain,Japan,7,433,Sergio Busquets i Burgos,1,6,3,Open Play,Open play / other,False,False,Off T,0,0.03268242,Regular Play,54,10+,198.0,11,69.8,75.1,Mittelfeld,97.0,46.1,Kurzer Pass,1.0,0.0,True
3857255,Japan vs Spain,Japan,Spain,11,343,Junya Ito,1,7,12,Open Play,Open play / other,False,False,Off T,0,0.04214545,Regular Play,3,0-3,9.0,5,105.0,25.1,Offensives Drittel,114.0,53.5,Bereits im offensiven Drittel,0.0,0.0,True
3857255,Japan vs Spain,Spain,Japan,13,433,Álvaro Borja Morata Martín,1,8,52,Open Play,Corner,False,True,Saved,0,0.06376064,From Corner,4,4-6,5.0,4,120.0,0.1,Offensives Drittel,109.9,35.6,Bereits im offensiven Drittel,0.0,0.0,True
3857255,Japan vs Spain,Spain,Japan,15,433,Álvaro Borja Morata Martín,1,11,0,Open Play,Open play / other,False,False,Goal,1,0.33106714,Regular Play,30,10+,110.0,10,31.5,19.2,Defensives Drittel,115.3,38.3,Kurzer Pass,16.0,58.0,False
3857255,Japan vs Spain,Spain,Japan,30,433,Álvaro Borja Morata Martín,1,22,34,Open Play,Open play / other,False,False,Saved,0,0.10093839,Regular Play,16,10+,53.0,9,28.4,75.5,Defensives Drittel,104.7,51.6,Kurzer Pass,15.0,49.0,False
3857255,Japan vs Spain,Japan,Spain,49,343,Daichi Kamada,1,35,50,Open Play,Open play / other,False,False,Blocked,0,0.03356069,Regular Play,17,10+,52.0,8,56.6,5.4,Mittelfeld,107.0,54.5,Carry,2.0,11.0,True
