build_up_id,match_id,match_date,match_label,team,goal_player,goal_minute,goal_second,period,possession,play_pattern,formation,passes_before_goal,duration_seconds,players_involved,start_x,start_y,start_third,goal_x,goal_y,attack_type
3857299_3,3857299,2022-11-28,South Korea vs Ghana,South Korea,Gue-Sung Cho,57,19,2,95,Regular Play,4231,6,28,5,16.8,6.3,Defensives Drittel,112.6,38.4,Mittlerer Aufbau (6–8)
3857299_4,3857299,2022-11-28,South Korea vs Ghana,South Korea,Gue-Sung Cho,60,7,2,99,From Throw In,4231,8,29,8,76.4,0.1,Mittleres Drittel,115.5,43.7,Mittlerer Aufbau (6–8)
3857299_5,3857299,2022-11-28,South Korea vs Ghana,Ghana,Mohammed Kudus,67,52,2,113,From Free Kick,4231,8,22,7,50.6,61.6,Mittleres Drittel,108.4,48.6,Mittlerer Aufbau (6–8)
3857298_1,3857298,2022-11-24,Portugal vs Ghana,Portugal,Cristiano Ronaldo dos Santos Aveiro,64,20,2,119,Other,433,0,0,1,108.1,40.1,Offensives Drittel,108.1,40.1,Sehr direkt (0–3)
3857298_2,3857298,2022-11-24,Portugal vs Ghana,Ghana,André Ayew Pelé,72,11,2,134,From Keeper,352,5,25,5,56.7,64.4,Mittleres Drittel,115.6,39.8,Trainerregel (4–5)
3857298_3,3857298,2022-11-24,Portugal vs Ghana,Portugal,João Félix Sequeira,77,6,2,143,Regular Play,433,3,8,4,46.0,11.0,Mittleres Drittel,107.5,52.6,Sehr direkt (0–3)
3857298_4,3857298,2022-11-24,Portugal vs Ghana,Portugal,Rafael Alexandre Conceição Leão,79,21,2,147,Regular Play,433,2,8,3,56.1,43.9,Mittleres Drittel,111.7,28.3,Sehr direkt (0–3)
3857298_5,3857298,2022-11-24,Portugal vs Ghana,Ghana,Osman Bukari,88,28,2,163,From Throw In,352,3,13,4,51.8,80.0,Mittleres Drittel,113.5,40.2,Sehr direkt (0–3)
3857297_1,3857297,2022-11-26,Poland vs Saudi Arabia,Poland,Piotr Zieliński,38,57,1,68,From Goal Kick,442,5,14,5,6.0,36.0,Defensives Drittel,111.9,44.7,Trainerregel (4–5)
3857297_2,3857297,2022-11-26,Poland vs Saudi Arabia,Poland,Robert Lewandowski,81,28,2,157,From Goal Kick,442,0,13,1,94.7,68.6,Offensives Drittel,107.2,44.6,Sehr direkt (0–3)
3857293_1,3857293,2022-12-02,Ghana vs Uruguay,Uruguay,Giorgian Daniel De Arrascaeta Benedetti,25,30,1,48,Regular Play,442,5,23,5,48.0,49.4,Mittleres Drittel,118.0,42.7,Trainerregel (4–5)
3857293_2,3857293,2022-12-02,Ghana vs Uruguay,Uruguay,Giorgian Daniel De Arrascaeta Benedetti,31,2,1,57,From Free Kick,442,10,18,9,75.4,18.1,Mittleres Drittel,110.8,31.2,Langer Aufbau (9+)
3857292_1,3857292,2022-12-01,Costa Rica vs Germany,Germany,Serge Gnabry,9,31,1,17,Regular Play,4231,3,9,4,53.4,13.9,Mittleres Drittel,111.9,33.1,Sehr direkt (0–3)
3857292_2,3857292,2022-12-01,Costa Rica vs Germany,Costa Rica,Yeltsin Ignacio Tejeda Valverde,57,39,2,122,Regular Play,343,3,9,3,70.8,76.4,Mittleres Drittel,114.3,38.1,Sehr direkt (0–3)
3857292_3,3857292,2022-12-01,Costa Rica vs Germany,Germany,Kai Havertz,72,4,2,143,From Kick Off,4231,18,65,10,60.0,40.0,Mittleres Drittel,109.3,42.6,Langer Aufbau (9+)
3857292_4,3857292,2022-12-01,Costa Rica vs Germany,Germany,Kai Havertz,84,2,2,165,Regular Play,4231,8,23,8,34.7,51.4,Defensives Drittel,113.1,37.6,Mittlerer Aufbau (6–8)
3857292_5,3857292,2022-12-01,Costa Rica vs Germany,Germany,Niclas Füllkrug,88,13,2,178,From Throw In,4231,17,81,10,49.4,0.1,Mittleres Drittel,114.8,42.5,Langer Aufbau (9+)
3857291_1,3857291,2022-11-23,Spain vs Costa Rica,Spain,Daniel Olmo Carvajal,10,52,1,19,From Throw In,433,26,75,10,110.5,80.0,Offensives Drittel,112.3,39.3,Langer Aufbau (9+)
3857291_2,3857291,2022-11-23,Spain vs Costa Rica,Spain,Marco Asensio Willemsen,20,32,1,35,Regular Play,433,26,79,9,36.1,54.2,Defensives Drittel,105.8,33.4,Langer Aufbau (9+)
3857291_3,3857291,2022-11-23,Spain vs Costa Rica,Spain,Ferrán Torres García,30,9,1,42,Other,433,0,0,1,108.1,40.1,Offensives Drittel,108.1,40.1,Sehr direkt (0–3)
3857291_4,3857291,2022-11-23,Spain vs Costa Rica,Spain,Ferrán Torres García,53,41,2,80,From Corner,433,33,98,10,120.0,80.0,Offensives Drittel,114.7,49.4,Langer Aufbau (9+)
3857291_5,3857291,2022-11-23,Spain vs Costa Rica,Spain,Pablo Martín Páez Gavira,73,59,2,112,From Free Kick,433,4,28,5,32.1,48.1,Defensives Drittel,103.0,45.8,Trainerregel (4–5)
3857291_6,3857291,2022-11-23,Spain vs Costa Rica,Spain,Carlos Soler Barragán,89,11,2,132,Regular Play,433,6,24,5,40.8,8.1,Mittleres Drittel,109.7,40.1,Mittlerer Aufbau (6–8)
3857291_7,3857291,2022-11-23,Spain vs Costa Rica,Spain,Álvaro Borja Morata Martín,91,57,2,135,From Keeper,433,23,65,11,15.8,30.0,Defensives Drittel,104.0,36.4,Langer Aufbau (9+)
3857290_1,3857290,2022-11-24,Switzerland vs Cameroon,Switzerland,Breel-Donald Embolo,47,33,2,83,From Throw In,4231,13,30,10,98.9,0.1,Offensives Drittel,111.9,39.5,Langer Aufbau (9+)
3857285_1,3857285,2022-11-21,Senegal vs Netherlands,Netherlands,Cody Mathès Gakpo,83,50,2,149,Regular Play,3412,6,16,5,108.1,70.9,Offensives Drittel,112.3,39.0,Mittlerer Aufbau (6–8)
3857285_2,3857285,2022-11-21,Senegal vs Netherlands,Netherlands,Davy Klaassen,98,18,2,176,Regular Play,3412,8,24,8,35.7,30.4,Defensives Drittel,109.5,34.8,Mittlerer Aufbau (6–8)
3857281_1,3857281,2022-11-27,Croatia vs Canada,Canada,Alphonso Davies,1,8,1,3,Regular Play,442,11,40,8,15.4,39.2,Defensives Drittel,109.6,36.4,Langer Aufbau (9+)
3857281_2,3857281,2022-11-27,Croatia vs Canada,Croatia,Andrej Kramarić,35,53,1,64,From Corner,433,6,13,5,100.2,11.2,Offensives Drittel,114.1,29.4,Mittlerer Aufbau (6–8)
3857281_3,3857281,2022-11-27,Croatia vs Canada,Croatia,Marko Livaja,43,32,1,74,From Free Kick,433,12,31,10,33.3,56.0,Defensives Drittel,101.0,39.1,Langer Aufbau (9+)
3857281_4,3857281,2022-11-27,Croatia vs Canada,Croatia,Andrej Kramarić,69,36,2,142,Regular Play,433,6,21,5,43.7,53.8,Mittleres Drittel,106.8,47.1,Mittlerer Aufbau (6–8)
3857281_5,3857281,2022-11-27,Croatia vs Canada,Croatia,Lovro Majer,93,26,2,198,Regular Play,433,1,1,2,105.0,34.2,Offensives Drittel,109.2,45.4,Sehr direkt (0–3)
3857280_1,3857280,2022-12-02,Cameroon vs Brazil,Cameroon,Vincent Paté Aboubakar,91,48,2,157,Regular Play,442,4,11,5,43.7,3.1,Mittleres Drittel,106.7,40.7,Trainerregel (4–5)
3857279_1,3857279,2022-11-22,France vs Australia,Australia,Craig Goodwin,8,24,1,15,From Throw In,4141,6,17,6,97.5,0.1,Offensives Drittel,114.2,31.3,Mittlerer Aufbau (6–8)
3857279_2,3857279,2022-11-22,France vs Australia,France,Adrien Rabiot,26,2,1,40,From Corner,4231,2,4,3,80.8,31.8,Offensives Drittel,111.6,42.0,Sehr direkt (0–3)
3857279_3,3857279,2022-11-22,France vs Australia,France,Olivier Giroud,31,18,1,48,Regular Play,4231,2,3,3,104.7,9.2,Offensives Drittel,110.5,39.2,Sehr direkt (0–3)
3857279_4,3857279,2022-11-22,France vs Australia,France,Kylian Mbappé Lottin,67,3,2,101,Regular Play,4231,29,87,10,33.6,13.2,Defensives Drittel,113.5,42.2,Langer Aufbau (9+)
3857279_5,3857279,2022-11-22,France vs Australia,France,Olivier Giroud,70,50,2,106,From Free Kick,4231,7,24,5,45.1,3.9,Mittleres Drittel,113.5,42.6,Mittlerer Aufbau (6–8)
3857278_1,3857278,2022-11-29,Iran vs United States,United States,Christian Pulisic,37,49,1,73,Regular Play,433,11,30,8,42.8,62.6,Mittleres Drittel,115.1,38.7,Langer Aufbau (9+)
3857276_1,3857276,2022-12-01,Canada vs Morocco,Morocco,Hakim Ziyech,3,29,1,8,From Throw In,433,1,11,2,47.0,3.7,Mittleres Drittel,83.9,45.0,Sehr direkt (0–3)
3857276_2,3857276,2022-12-01,Canada vs Morocco,Morocco,Youssef En-Nesyri,22,36,1,40,From Throw In,433,6,24,5,63.3,80.0,Mittleres Drittel,107.6,53.2,Mittlerer Aufbau (6–8)
3857275_1,3857275,2022-11-30,Tunisia vs France,Tunisia,Wahbi Khazri,57,20,2,120,Regular Play,3421,2,7,3,65.4,48.6,Mittleres Drittel,103.3,37.8,Sehr direkt (0–3)
3857274_1,3857274,2022-11-25,Netherlands vs Ecuador,Netherlands,Cody Mathès Gakpo,5,3,1,11,From Throw In,3412,4,18,5,55.7,80.0,Mittleres Drittel,100.6,31.0,Trainerregel (4–5)
3857274_2,3857274,2022-11-25,Netherlands vs Ecuador,Ecuador,Enner Remberto Valencia Lastra,48,44,2,95,From Counter,3421,2,6,3,78.7,44.6,Mittleres Drittel,116.0,38.1,Sehr direkt (0–3)
3857273_1,3857273,2022-11-25,Wales vs Iran,Iran,Roozbeh Cheshmi,97,56,2,187,From Throw In,4411,6,43,6,48.2,80.0,Mittleres Drittel,95.1,37.5,Mittlerer Aufbau (6–8)
3857273_2,3857273,2022-11-25,Wales vs Iran,Iran,Ramin Rezaeian,100,37,2,190,From Counter,4411,1,3,2,95.7,27.3,Offensives Drittel,104.8,45.3,Sehr direkt (0–3)
3857271_1,3857271,2022-11-21,England vs Iran,England,Jude Bellingham,34,9,1,43,Regular Play,4231,17,68,8,18.6,65.8,Defensives Drittel,112.0,38.0,Langer Aufbau (9+)
3857271_2,3857271,2022-11-21,England vs Iran,England,Bukayo Saka,42,46,1,54,From Corner,4231,2,3,3,120.0,0.1,Offensives Drittel,104.1,38.5,Sehr direkt (0–3)
3857271_3,3857271,2022-11-21,England vs Iran,England,Raheem Sterling,45,17,1,57,Regular Play,4231,7,25,7,40.8,24.1,Mittleres Drittel,111.0,42.8,Mittlerer Aufbau (6–8)
3857271_4,3857271,2022-11-21,England vs Iran,England,Bukayo Saka,61,26,2,106,Regular Play,4231,2,11,3,57.4,16.4,Mittleres Drittel,105.3,46.3,Sehr direkt (0–3)
3857271_5,3857271,2022-11-21,England vs Iran,Iran,Mehdi Taremi,64,33,2,111,From Throw In,343,6,18,4,97.9,80.0,Offensives Drittel,109.7,48.0,Mittlerer Aufbau (6–8)
3857271_6,3857271,2022-11-21,England vs Iran,England,Marcus Rashford,70,51,2,114,From Goal Kick,4231,3,12,4,26.7,7.2,Defensives Drittel,109.7,47.7,Sehr direkt (0–3)
3857271_7,3857271,2022-11-21,England vs Iran,England,Jack Grealish,89,1,2,135,From Free Kick,4231,35,86,11,64.2,36.9,Mittleres Drittel,112.0,39.9,Langer Aufbau (9+)
3857271_8,3857271,2022-11-21,England vs Iran,Iran,Mehdi Taremi,102,30,2,153,Other,343,0,0,1,108.0,40.0,Offensives Drittel,108.0,40.0,Sehr direkt (0–3)
3857268_1,3857268,2022-11-23,Belgium vs Canada,Belgium,Michy Batshuayi Tunga,43,32,1,73,Regular Play,3421,24,89,9,46.1,50.8,Mittleres Drittel,109.0,36.1,Langer Aufbau (9+)
3857262_1,3857262,2022-12-02,South Korea vs Portugal,Portugal,Ricardo Jorge Luz Horta,4,53,1,7,From Goal Kick,433,8,27,8,7.0,36.1,Defensives Drittel,113.6,47.0,Mittlerer Aufbau (6–8)
3857262_2,3857262,2022-12-02,South Korea vs Portugal,South Korea,Young-Gwon Kim,26,43,1,36,From Corner,433,0,2,1,120.0,0.1,Offensives Drittel,116.7,38.0,Sehr direkt (0–3)
3857262_3,3857262,2022-12-02,South Korea vs Portugal,South Korea,Hee-Chan Hwang,90,28,2,186,From Counter,433,1,1,2,98.3,52.3,Offensives Drittel,108.3,44.6,Sehr direkt (0–3)
3857261_1,3857261,2022-11-29,Wales vs England,England,Marcus Rashford,49,17,2,93,From Free Kick,433,0,0,1,96.1,29.3,Offensives Drittel,96.1,29.3,Sehr direkt (0–3)
3857261_2,3857261,2022-11-29,Wales vs England,England,Philip Foden,50,53,2,95,Regular Play,433,1,1,2,115.8,58.9,Offensives Drittel,114.5,34.1,Sehr direkt (0–3)
3857261_3,3857261,2022-11-29,Wales vs England,England,Marcus Rashford,67,40,2,119,From Throw In,433,14,44,8,51.9,0.1,Mittleres Drittel,109.9,50.3,Langer Aufbau (9+)
3857255_1,3857255,2022-12-01,Japan vs Spain,Spain,Álvaro Borja Morata Martín,11,0,1,15,Regular Play,433,30,106,9,27.6,23.0,Defensives Drittel,115.3,38.3,Langer Aufbau (9+)
3857255_2,3857255,2022-12-01,Japan vs Spain,Japan,Ritsu Doan,47,48,2,68,Regular Play,343,1,4,2,93.0,70.1,Offensives Drittel,100.5,55.8,Sehr direkt (0–3)
3857255_3,3857255,2022-12-01,Japan vs Spain,Japan,Ao Tanaka,50,14,2,71,From Free Kick,343,5,13,5,25.6,10.6,Defensives Drittel,118.7,40.2,Trainerregel (4–5)
